Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Hardest Explanation,gpt-5-mini_response,gpt-5-mini_final_answer,gpt-5-mini_confidence_score,gpt-5-mini_reasoning_steps_complexity,gpt-5-mini_response_time,gpt-5-mini_token_count,gpt-5-mini_quality_correctness,deepseek-chat_response,deepseek-chat_final_answer,deepseek-chat_confidence_score,deepseek-chat_reasoning_steps_complexity,deepseek-chat_response_time,deepseek-chat_token_count,deepseek-chat_quality_correctness,llama-4-maverick_response,llama-4-maverick_final_answer,llama-4-maverick_confidence_score,llama-4-maverick_reasoning_steps_complexity,llama-4-maverick_response_time,llama-4-maverick_token_count,llama-4-maverick_quality_correctness
1hop-Article_P131_U0C1D0FP8-U0C1D0FP8-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0FP8> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C4D0VP0> },hasSameHomeTownWith,TRUE,1,4,"['U0C1D0FP8 hasSameHomeTownWith U0C1D0FP8', 'U0C1D0FP8 hasSameHomeTownWith U0C4D0VP0', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,2.005,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.834,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.62,2761,0
1hop-Article_P131_U0C1D0FP8-U0C1D0FP8-hasSameHomeTownWith-MC,Article_P131,233,103,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#U0C1D0FP8> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> ?x },hasSameHomeTownWith,U0C1D0FP8; U0C4D0VP0,4,8,"['U0C1D0FP8 hasSameHomeTownWith U0C1D0FP8', 'U0C1D0FP8 hasSameHomeTownWith U0C4D0VP0', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C1D0FP8 hasSameHomeTownWith U0C4D0VP0', 'U0C4D0VP0 hasSameHomeTownWith U0C1D0FP8', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: 
CONFIDENCE: 0.8
REASONING_STEPS: 1",,0.8,1,3.733,2889,0,"ANSWER: 
CONFIDENCE: 0.0
REASONING_STEPS: 1",,0,1,3.98,2988,0,"ANSWER: U0C4,U0C1D0FP8
CONFIDENCE: 1.0
REASONING_STEPS: 2","U0C4,U0C1D0FP8",1,2,1.224,2787,0.333
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C0D1VP0> },hasSameHomeTownWith,TRUE,3,4,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C0D1VP0', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.661,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.298,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.88,2761,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-MC,Article_P131,233,103,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> ?x },hasSameHomeTownWith,U0C0D1OS16; U0C0D1SS2; U0C0D1VP0; U0C1D2PD0; U0WC0D1AP6; U0WC0D3PD1,14,24,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C0D1VP0', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0WC0D1AP6', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C0D1SS2', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0WC0D3PD1', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C0D1VP0 hasSameHomeTownWith U0WC0D3PD1', 'U0WC0D3PD1 hasSameHomeTownWith U0C0D1OS16', 'TransitiveObjectProperty(hasSameHomeTownWith)'] , ['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C1D2PD0', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: 
CONFIDENCE: 0.3
REASONING_STEPS: 1",,0.3,1,2.964,2889,0,"ANSWER: 
CONFIDENCE: 0.0
REASONING_STEPS: 1",,0,1,4.332,2988,0,"ANSWER: U0C4,U0C5,U0C6,U0C7,U0C8,U0C9,U0C10,U0C11,U0C12,U0C13,U0C14,U0C15,U0C16,U0C17,U0C18,U0C19,U0C1A,U0C1B,U0C1C,U0C1D,U0C1E,U0C1F,U0C20,U0C21,U0C22,U0C23,U0C24,U0C25,U0C26,U0C27,U0C28
CONFIDENCE: 0.0
REASONING_STEPS: 1","U0C4,U0C5,U0C6,U0C7,U0C8,U0C9,U0C10,U0C11,U0C12,U0C13,U0C14,U0C15,U0C16,U0C17,U0C18,U0C19,U0C1A,U0C1B,U0C1C,U0C1D,U0C1E,U0C1F,U0C20,U0C21,U0C22,U0C23,U0C24,U0C25,U0C26,U0C27,U0C28",0,1,3.34,2905,0
1hop-Article_P131_U0C0D0-U0C0D0-hasEmployee-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D0> <http://www.example.com/genealogy.owl#hasEmployee> <http://www.example.com/genealogy.owl#U0C0D0VP0> },hasEmployee,TRUE,3,3,"['U0C0D0VP0 worksFor U0C0D0', 'hasEmployee owl:inverseOf worksFor']","ANSWER: FALSE
CONFIDENCE: 0.95
REASONING_STEPS: 1",FALSE,0.95,1,2.555,2738,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,3.955,2965,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.956,2756,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0WC0D1AP6> },hasSameHomeTownWith,TRUE,1,4,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0WC0D1AP6', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,2.429,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.309,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.684,2762,0
1hop-Article_P131_U0WC0D2UGWS1-U0WC0D2UGWS1-isAdvisedBy-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D2UGWS1> <http://www.example.com/genealogy.owl#isAdvisedBy> <http://www.example.com/genealogy.owl#U0C1D0FP8> },isAdvisedBy,TRUE,1,3,"['U0C1D0FP8 isAdvisorOf U0WC0D2UGWS1', 'isAdvisedBy owl:inverseOf isAdvisorOf']","ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 2",FALSE,1,2,5.215,2871,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,3.74,2970,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,1.037,2674,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C0D1SS2> },hasSameHomeTownWith,TRUE,3,4,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C0D1SS2', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,5.082,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.111,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.893,2674,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0WC0D3PD1> },hasSameHomeTownWith,TRUE,1,4,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0WC0D3PD1', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: FALSE
CONFIDENCE: 0.80
REASONING_STEPS: 2",FALSE,0.8,2,5.493,2807,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,3.522,2970,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.64,2761,0
1hop-Article_P131_U0C1D0FP8-U0C1D0FP8-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0FP8> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C1D0FP8> },hasSameHomeTownWith,TRUE,3,4,"['U0C1D0FP8 hasSameHomeTownWith U0C4D0VP0', 'U0C4D0VP0 hasSameHomeTownWith U0C1D0FP8', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.277,2807,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.443,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.492,2761,0
1hop-Article_P131_U0C1D0UGS27-U0C1D0UGS27-isAdvisedBy-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0UGS27> <http://www.example.com/genealogy.owl#isAdvisedBy> <http://www.example.com/genealogy.owl#U0C1D0FP8> },isAdvisedBy,TRUE,1,3,"['U0C1D0FP8 isAdvisorOf U0C1D0UGS27', 'isAdvisedBy owl:inverseOf isAdvisorOf']","ANSWER: FALSE
CONFIDENCE: 0.8
REASONING_STEPS: 1",FALSE,0.8,1,4.358,2871,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,4.886,2970,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,1.176,2761,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C0D1OS16> },hasSameHomeTownWith,TRUE,3,4,"['U0C0D1VP0 hasSameHomeTownWith U0WC0D3PD1', 'U0WC0D3PD1 hasSameHomeTownWith U0C0D1OS16', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.903,2807,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.164,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.504,2761,0
1hop-Article_P131_U0C0D1VP0-U0C0D1VP0-hasSameHomeTownWith-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1VP0> <http://www.example.com/genealogy.owl#hasSameHomeTownWith> <http://www.example.com/genealogy.owl#U0C1D2PD0> },hasSameHomeTownWith,TRUE,3,4,"['U0C0D1VP0 hasSameHomeTownWith U0C0D1OS16', 'U0C0D1OS16 hasSameHomeTownWith U0C1D2PD0', 'TransitiveObjectProperty(hasSameHomeTownWith)']","ANSWER: FALSE
CONFIDENCE: 0.9
REASONING_STEPS: 1",FALSE,0.9,1,4.268,2807,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,3.975,2970,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.392,2674,0
1hop-Article_P131_U0C1D0FP8-U0C1D0FP8-hasDegreeFrom-BIN,Article_P131,233,103,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0FP8> <http://www.example.com/genealogy.owl#hasDegreeFrom> <http://www.example.com/genealogy.owl#U0> },hasDegreeFrom,TRUE,3,3,"['U0C1D0FP8 hasUndergraduateDegreeFrom U0', 'hasUndergraduateDegreeFrom rdfs:subPropertyOf hasDegreeFrom']","ANSWER: FALSE
CONFIDENCE: 0.95
REASONING_STEPS: 1",FALSE,0.95,1,5.13,2863,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,4.835,2962,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.614,2753,0
1hop-Article_P142_U0C1D2FP5-U0C1D2FP5-rdf:type-BIN,Article_P142,233,83,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D2FP5> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,5,"['U0C4D1PGS8 hasCollaborationWith U0C1D2FP5', 'Symmetric: hasCollaborationWith', 'hasCollaborationWith Domain Person']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.447,2742,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.854,2968,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.75,2757,0
1hop-Article_P142_U0C1D0OS0-U0C1D0OS0-rdf:type-BIN,Article_P142,233,83,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0OS0> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,5,"['U0C4D1PGS8 hasSameHomeTownWith U0C1D0OS0', 'Symmetric: hasSameHomeTownWith', 'hasSameHomeTownWith Domain Person']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,2.707,2806,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,6.368,2968,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.595,2757,0
1hop-Article_P142_U0WC0D2FP5-U0WC0D2FP5-isAdvisorOf-BIN,Article_P142,233,83,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D2FP5> <http://www.example.com/genealogy.owl#isAdvisorOf> <http://www.example.com/genealogy.owl#U0WC0D0PhDWS1> },isAdvisorOf,TRUE,3,3,"['U0WC0D0PhDWS1 isAdvisedBy U0WC0D2FP5', 'isAdvisorOf owl:inverseOf isAdvisedBy']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.004,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,5.816,2970,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.72,2761,0
1hop-Article_P142_U0C3D2EC29-U0C3D2EC29-isTaughtBy-BIN,Article_P142,233,83,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C3D2EC29> <http://www.example.com/genealogy.owl#isTaughtBy> <http://www.example.com/genealogy.owl#U0C3D2L6> },isTaughtBy,TRUE,1,3,"['U0C3D2L6 teachesCourse U0C3D2EC29', 'isTaughtBy owl:inverseOf teachesCourse']","ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.925,2806,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.29,2969,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.646,2760,0
